level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
3,M00252,FAB - DIN985 Lock Nut Bag - M6,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00630,Lock Nut DIN985 M6,14.00,M00252,FAB - DIN985 Lock Nut Bag - M6,False
3,M00249,FAB - DIN985 Lock Nut Bag - M10,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00627,Lock Nut DIN985 M10,2.00,M00249,FAB - DIN985 Lock Nut Bag - M10,False
3,M00265,FAB - Spacer Bag - M5x6,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00798,Spacer M5x6mm,2.00,M00265,FAB - Spacer Bag - M5x6,False
3,M00263,FAB - Spacer Bag - M5x19,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00795,Spacer M5x19mm,8.00,M00263,FAB - Spacer Bag - M5x19,False
3,M00264,FAB - Spacer Bag - M5x30,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00796,Spacer M5x30mm,12.00,M00264,FAB - Spacer Bag - M5x30,False
3,M00266,FAB - Spacer Bag - M6x90,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00800,Spacer M6x90mm,2.00,M00266,FAB - Spacer Bag - M6x90,False
3,M00255,FAB - I-Type Sliding Nut Bag - M4,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00554,I-Type Sliding Nut M4,14.00,M00255,FAB - I-Type Sliding Nut Bag - M4,False
3,M00256,FAB - I-Type Sliding Nut Bag - M5,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
4,M00555,I-Type Sliding Nut M5,158.00,M00256,FAB - I-Type Sliding Nut Bag - M5,False
3,M00291,FAB - V-Wheels Bag - M5,1.00,M00267,FAB - Mechanical Elements Box - FAB-B-2 (Screws & Nuts),True
